vessel_id,mmsi,imo,shipname,callsign,flag_code,flag,ship_type_summary,ship_type_detail_name,length_m,width_m,dwt,grt,year_built
01571494-97a8-7164-9885-870c063d674e,412211990,8791057.0,YUAN DONG QI HANG,BPMF5,CN,China (People's Republic of),"Tanker(s), carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category Y",Chemical Tanker,91.0,14.0,3037.0,2404.0,2016.0
017c4f89-1f58-7872-a880-c93e521978dc,352980843,9909584.0,CAPILANO SUN,3E3566,NO,Norway,"Tanker(s), carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category Y",Oil/Chemical Tanker,186.0,32.0,49999.0,30873.0,2021.0
015d4233-d740-70f8-800a-09fc05445914,477995827,9820594.0,GUO SI,VRQN9,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Tanker(s), all ships of this type",Oil Products Tanker,65.0,15.2,2528.0,1596.0,2017.0
014e47c3-9588-7914-9a71-4af09b458f02,563152500,9616802.0,KOTA GAYA,9V7466,SG,Singapore (Republic of),"Cargo ships, all ships of this type",Container Ship,222.0,30.0,39598.0,29015.0,2012.0
0174aed2-be68-7561-ba05-65475d20b9c1,563234700,9864540.0,YM CAPACITY,9V9753,LR,Liberia (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",Container Ship,209.75,32.799999,37435.0,32720.0,2020.0
01808741-10f0-7fe8-8e2a-7d0df334a7d6,574001750,9389722.0,AULAC DIAMOND,3WJH9,VN,Viet Nam (Socialist Republic of),"Tanker(s), all ships of this type",Oil/Chemical Tanker,127.2,20.0,12475.0,8614.0,2008.0
014e5109-ab28-7370-a41f-f35fc08e556e,636092974,9357793.0,HANSA LANKA,A8OY2,LR,Liberia (Republic of),"Cargo ships, no additional information","Cargo ships, no additional information",182.45,25.25,24090.0,17964.0,2008.0
015e84fe-b2b0-7c22-8131-16a86c4adea4,413703960,9339014.0,JI LI,BQVU,CN,China (People's Republic of),"Cargo ships, all ships of this type",Container Ship,129.58,20.6,8241.0,7545.0,2006.0
0162e0b1-7120-76a2-ab71-24d15ab691c3,431986000,9784788.0,ONE STORK,7KCR,JP,Japan,"Cargo ships, all ships of this type",Container Ship,364.0,51.0,139335.0,145251.0,2018.0
0168930a-7678-79d2-b2ab-4dd8389fa023,311000730,9827396.0,STAR AMBER,C6DN9,BS,Bahamas (Commonwealth of the),"Cargo ships, all ships of this type",Bulk Carrier,229.0,32.259998,82023.0,44114.0,2019.0
014e46ea-cd70-7431-8760-73049cc13c2e,574447000,9359624.0,PETROLIMEX 09,3WPG,VN,Viet Nam (Socialist Republic of),"Tanker(s), all ships of this type",Oil/Chemical Tanker,175.97,31.030001,40019.0,25413.0,2007.0
014e4879-2600-7f82-ac09-bc14b5dd53ec,353160000,9404663.0,MSC SONIA,3EUP7,PA,Panama (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,366.0,52.0,165691.0,153092.0,2010.0
014e95d4-8de0-775f-ad6c-8a007250765f,574946000,9565285.0,PHUC THUAN 69,3WHB,VN,Viet Nam (Socialist Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",General Cargo,92.0,15.0,5088.0,2989.0,2009.0
0180874e-a198-7e2a-b1b8-a3684b382ff9,373319000,9875068.0,EVER COPE,3FOT3,PA,Panama (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,171.98,28.0,22217.0,18658.0,2020.0
017c1419-1e78-713c-a068-b1152c89eb29,538009593,9920679.0,ACE ETERNITY,V7A4930,MH,Marshall Islands (Republic of the),"Cargo ships, all ships of this type",Bulk Carrier,292.0,45.0,182098.0,93297.0,2021.0
014e46eb-9c78-7871-b59d-4bf0982d4780,235009240,9300386.0,EVER SHINE,MJKZ4,GB,United Kingdom of Great Britain and Northern Ireland,"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",Container Ship,300.0,43.0,78693.0,76185.0,2005.0
0175f799-df90-786c-a0db-face2f2014c5,374731000,9890915.0,PAN OPTIMUM,3ETS8,PA,Panama (Republic of),"Cargo ships, all ships of this type",Bulk Carrier,179.97,29.0,37704.0,23238.0,2020.0
01929d83-5190-702b-a986-9ae2c074399a,477997187,1062550.0,ZHONG RAN 23,VRS6429,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Tanker(s), all ships of this type",Oil Products Tanker,61.0,15.0,2200.0,1473.0,2024.0
017d7cf4-aa88-7a90-9cab-b5d94cfb8b26,413313180,9937921.0,FENG YI 3,BOUU8,CN,China (People's Republic of),"Tanker(s), all ships of this type",LPG/Chemical Tanker,99.989998,18.0,5114.0,4963.0,2022.0
014e4703-cbe0-7dec-a53e-c0f8816b035f,477995334,9695822.0,TAIMIN 2,VRMJ3,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Tanker(s), all ships of this type",Oil Products Tanker,48.0,13.8,1876.0,1165.0,2013.0
016f24fa-7398-7248-81f0-fc0afeb006b0,636019509,9860960.0,MOUNT ALBERTA,D5UV5,LR,Liberia (Republic of),"Cargo ships, all ships of this type",Bulk Carrier,299.98999,50.099998,209191.0,107720.0,2020.0
016be433-6570-725e-a8a3-27d39ab7a583,636018725,9831713.0,FPMC 33,D5RC6,LR,Liberia (Republic of),"Tanker(s), carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Oil Products Tanker,182.8,32.029999,48000.0,29245.0,2019.0
01846955-a7a0-7658-a511-563f3b62e93a,477859600,9940203.0,SITC XIANDE,VRUZ2,KW,Kuwait (State of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,171.89999,28.0,22000.0,18900.0,2022.0
0167fccb-c540-7914-aab1-ba9b627d8663,414076000,9627643.0,RUI NING 10,BFAI6,CN,China (People's Republic of),"Cargo ships, all ships of this type",Bulk Carrier,190.0,32.259998,53156.0,32493.0,2012.0
014e46ea-0250-7978-9aa3-787ad6b05f49,477519200,9683178.0,GUANGZHOU,VRMM7,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),Other types of ship,Tugs,31.0,9.5,214.0,278.0,2013.0
014e479b-9f10-7d44-849a-dec0f41c99de,636026997,9110975.0,MSC JAPAN III,D5EB3,PA,Panama (Republic of),"Cargo ships, all ships of this type","Cargo ships, all ships of this type",242.8,32.26,42938.0,37518.0,1996.0
018b8370-b6a0-74d3-95db-709ced7d5134,636022182,9961453.0,AVIOS,5LHO2,LR,Liberia (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X","Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",172.0,27.0,22750.0,17785.0,2024.0
014e46ed-2ae8-71ca-a902-d9152e62b25a,574004460,9388429.0,DA NANG GAS,XVXR7,MH,Marshall Islands (Republic of the),"Tanker(s), carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category Z",LPG/Chemical Tanker,99.900002,17.0,4771.0,4306.0,2006.0
014e46ec-1978-7f00-bce0-9486d48992a7,352003828,9328675.0,VIET THUAN 56 05,3E5910,LR,Liberia (Republic of),"Cargo ships, all ships of this type",Bulk Carrier,190.0,32.0,56024.0,31242.0,2004.0
014e47bd-f420-7905-bba5-3c61da4b1f82,574642000,9143130.0,SAI GON GAS,XVOV,VN,Viet Nam (Socialist Republic of),"Tanker(s), all ships of this type",LPG Tanker,95.5,16.639999,2999.0,3556.0,1996.0
014e4c1e-0a50-718c-a692-51f1204f0872,574006250,9609419.0,HAIAN IRIS,XVOR7,BS,Bahamas (Commonwealth of the),"Cargo ships, all ships of this type",Container Ship,146.03,22.5,12490.0,9963.0,2011.0
